Address,USB0::0x0957::0x179B::MY58106372::0::INSTR
Model,DSO-X 2002A
Serial Number,MY58106372
Start Time,2025-05-29 11:33:15

Sample Count,Time(s),1(VOLT),2(VOLT),
976,-3.99999989895e-05,-0.00777637958527,-0.00418655574322,
977,-1.43999995998e-05,-0.00777637958527,-0.0102167092264,
978,1.11999997898e-05,0.0123240947723,-0.00418655574322,
979,3.6800000089e-05,-0.00777637958527,-0.0142368115485,
980,6.24000022071e-05,0.0123240947723,-0.0102167092264,
981,8.80000006873e-05,0.0123240947723,-0.01825690642,
982,0.000113599999167,0.0123240947723,-0.0122267566621,
983,0.000139199997648,0.0324246287346,-0.0102167092264,
984,0.000164800003404,0.0324246287346,-0.0122267566621,
985,0.000190399994608,0.0324246287346,-0.0162468589842,
986,0.000216000000364,0.0525251626968,-0.0202669613063,
987,0.00024160000612,0.0324246287346,-0.0122267566621,
988,0.000267199997324,0.0525251626968,-0.0162468589842,
989,0.000292799988529,0.0324246287346,-0.00418655574322,
990,0.000318400008837,0.0525251626968,-0.00217650458217,
991,0.000344000000041,0.0525251626968,-0.0102167092264,
992,0.000369599991245,0.0525251626968,-0.00418655574322,
993,0.000395200011553,0.0525251626968,-0.00820665434003,
994,0.000420800002757,0.0525251626968,-0.00418655574322,
995,0.000446399993962,0.0525251626968,-0.01825690642,
996,0.00047200001427,0.0726256370544,-0.0142368115485,
997,0.000497600005474,0.0726256370544,-0.00820665434003,
998,0.000523200025782,0.0726256370544,-0.00619660690427,
999,0.000548799987882,0.092726111412,-0.0162468589842,
1000,0.00057440000819,0.0726256370544,-0.0142368115485,
1001,0.000600000028498,0.092726111412,-0.0122267566621,
1002,0.000625599990599,0.0726256370544,-0.00418655574322,
1003,0.000651200010907,0.0726256370544,-0.00217650458217,
1004,0.000676799973007,0.092726111412,-0.00418655574322,
1005,0.000702399993315,0.092726111412,-0.00217650458217,
1006,0.000728000013623,0.092726111412,-0.00820665434003,
1007,0.000753599975724,0.092726111412,-0.0162468589842,
1008,0.000779199996032,0.11282658577,-0.00217650458217,
1009,0.00080480001634,0.11282658577,-0.0122267566621,
1010,0.00083039997844,0.11282658577,-0.00619660690427,
1011,0.000855999998748,0.11282658577,-0.0142368115485,
1012,0.000881600019056,0.11282658577,-0.0142368115485,
1013,0.000907199981157,0.11282658577,-0.00820665434003,
1014,0.000932800001465,0.11282658577,0.00184359401464,
1015,0.000958400021773,0.132927179337,0.00184359401464,
1016,0.000984000042081,0.11282658577,-0.0102167092264,
1017,0.00100960000418,0.153027653694,-0.0102167092264,
1018,0.00103519996628,0.132927179337,-0.00217650458217,
1019,0.0010608000448,0.132927179337,-0.000166457146406,
1020,0.0010864000069,0.153027653694,-0.00418655574322,
1021,0.001111999969,0.153027653694,0.0038536451757,
1022,0.00113760004751,0.153027653694,0.0038536451757,
1023,0.00116320000961,0.173128128052,-0.000166457146406,
1024,0.00118879997171,0.153027653694,0.00184359401464,
1025,0.00121440005023,0.153027653694,-0.00418655574322,
1026,0.00124000001233,0.173128128052,-0.000166457146406,
1027,0.00126559997443,0.153027653694,-0.00418655574322,
1028,0.00129120005295,0.153027653694,-0.00418655574322,
1029,0.00131680001505,0.173128128052,-0.000166457146406,
1030,0.00134239997715,0.173128128052,-0.0102167092264,
1031,0.00136800005566,0.193228602409,-0.00820665434003,
1032,0.00139360001776,0.173128128052,-0.00619660690427,
1033,0.00141919997986,0.193228602409,-0.0102167092264,
1034,0.00144479994196,0.193228602409,-0.00619660690427,
1035,0.00147040002048,0.193228602409,-0.00418655574322,
1036,0.00149599998258,0.193228602409,-0.00217650458217,
1037,0.00152159994468,0.193228602409,0.00184359401464,
1038,0.0015472000232,0.213329195976,-0.00418655574322,
1039,0.0015727999853,0.213329195976,0.0038536451757,
1040,0.0015983999474,0.233429670334,0.00184359401464,
1041,0.00162400002591,0.213329195976,-0.000166457146406,
1042,0.00164959998801,0.233429670334,-0.00418655574322,
1043,0.00167519995011,0.233429670334,0.00586369261146,
1044,0.00170080002863,0.213329195976,0.00184359401464,
1045,0.00172639999073,0.233429670334,-0.00418655574322,
1046,0.00175199995283,0.233429670334,0.00184359401464,
1047,0.00177760003135,0.233429670334,0.00184359401464,
1048,0.00180319999345,0.233429670334,-0.000166457146406,
1049,0.00182879995555,0.233429670334,0.00184359401464,
1050,0.00185440003406,0.253530144691,-0.00619660690427,
1051,0.00187999999616,0.253530144691,0.0038536451757,
1052,0.00190559995826,0.253530144691,-0.000166457146406,
1053,0.00193120003678,0.253530144691,-0.000166457146406,
1054,0.00195679999888,0.253530144691,-0.00217650458217,
1055,0.00198239996098,0.253530144691,-0.00217650458217,
1056,0.00200799992308,0.273630619049,-0.00217650458217,
1057,0.00203359988518,0.253530144691,0.0038536451757,
1058,0.00205920008011,0.273630619049,0.00586369261146,
1059,0.00208480004221,0.253530144691,0.00586369261146,
1060,0.00211040000431,0.293731212616,-0.00217650458217,
1061,0.00213599996641,0.293731212616,0.00787374377251,
1062,0.00216159992851,0.293731212616,0.00787374377251,
1063,0.00218719989061,0.293731212616,0.0038536451757,
1064,0.00221280008554,0.293731212616,0.00184359401464,
1065,0.00223840004764,0.293731212616,0.00586369261146,
1066,0.00226400000975,0.293731212616,0.00787374377251,
1067,0.00228959997185,0.293731212616,-0.00217650458217,
1068,0.00231519993395,0.293731212616,0.00988379493356,
1069,0.00234079989605,0.293731212616,0.00988379493356,
1070,0.00236640009098,0.293731212616,0.00787374377251,
1071,0.00239200005308,0.293731212616,0.0038536451757,
1072,0.00241760001518,0.293731212616,0.00787374377251,
1073,0.00244319997728,0.313831686974,0.00787374377251,
1074,0.00246879993938,0.313831686974,0.00988379493356,
1075,0.00249439990148,0.313831686974,0.00586369261146,
