Time	X-ray (ID 01) / Impulse Imp	X-ray (ID 01) / Voltage U	X-ray (ID 01) / Current I	X-ray (ID 01) / Detector angle θ_d	X-ray (ID 01) / Crystal angle θ_c
t/s	Imp/# / s	U/kV	I/mA	θ_d/°	θ_c/°

520.00	117	35.0	1.00	58.0	29.0
522.00	111	35.0	1.00	58.2	29.1
524.00	129	35.0	1.00	58.4	29.2
526.00	102	35.0	1.00	58.6	29.3
528.00	132	35.0	1.00	58.8	29.4
530.00	110	35.0	1.00	59.0	29.5
532.00	119	35.0	1.00	59.2	29.6
534.00	111	35.0	1.00	59.4	29.7
536.00	103	35.0	1.00	59.6	29.8
538.00	124	35.0	1.00	59.8	29.9
540.00	112	35.0	1.00	60.0	30.0
542.00	117	35.0	1.00	60.2	30.1
544.00	128	35.0	1.00	60.4	30.2
546.00	112	35.0	1.00	60.6	30.3
548.00	118	35.0	1.00	60.8	30.4
550.00	112	35.0	1.00	61.0	30.5
552.00	116	35.0	1.00	61.2	30.6
554.00	102	35.0	1.00	61.4	30.7
556.00	116	35.0	1.00	61.6	30.8
558.00	123	35.0	1.00	61.8	30.9
560.00	115	35.0	1.00	62.0	31.0
562.00	114	35.0	1.00	62.2	31.1
564.00	120	35.0	1.00	62.4	31.2
566.00	108	35.0	1.00	62.6	31.3
568.00	104	35.0	1.00	62.8	31.4
570.00	123	35.0	1.00	63.0	31.5
572.00	107	35.0	1.00	63.2	31.6
574.00	115	35.0	1.00	63.4	31.7
576.00	102	35.0	1.00	63.6	31.8
578.00	109	35.0	1.00	63.8	31.9
580.00	100	35.0	1.00	64.0	32.0
582.00	104	35.0	1.00	64.2	32.1
584.00	130	35.0	1.00	64.4	32.2
586.00	110	35.0	1.00	64.6	32.3
588.00	126	35.0	1.00	64.8	32.4
590.00	118	35.0	1.00	65.0	32.5
592.00	113	35.0	1.00	65.2	32.6
594.00	100	35.0	1.00	65.4	32.7
596.00	112	35.0	1.00	65.6	32.8
598.00	104	35.0	1.00	65.8	32.9
600.00	108	35.0	1.00	66.0	33.0
602.00	118	35.0	1.00	66.2	33.1
604.00	121	35.0	1.00	66.4	33.2
606.00	119	35.0	1.00	66.6	33.3
608.00	107	35.0	1.00	66.8	33.4
610.00	98	35.0	1.00	67.0	33.5
612.00	125	35.0	1.00	67.2	33.6
614.00	105	35.0	1.00	67.4	33.7
616.00	114	35.0	1.00	67.6	33.8
618.00	118	35.0	1.00	67.8	33.9
620.00	106	35.0	1.00	68.0	34.0
622.00	126	35.0	1.00	68.2	34.1
624.00	97	35.0	1.00	68.4	34.2
626.00	128	35.0	1.00	68.6	34.3
628.00	105	35.0	1.00	68.8	34.4
630.00	110	35.0	1.00	69.0	34.5
632.00	103	35.0	1.00	69.2	34.6
634.00	110	35.0	1.00	69.4	34.7
636.00	115	35.0	1.00	69.6	34.8
638.00	106	35.0	1.00	69.8	34.9
640.00	113	35.0	1.00	70.0	35.0
642.00	122	35.0	1.00	70.2	35.1
644.00	110	35.0	1.00	70.4	35.2
646.00	109	35.0	1.00	70.6	35.3
648.00	122	35.0	1.00	70.8	35.4
650.00	114	35.0	1.00	71.0	35.5
