
Integration time [ms]:  60.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 353.70;  -10.100;   31.000;    0.000
 354.29;   16.450;  -19.000;    0.000
 354.89;    2.800;  -12.000;    0.000
 355.49;   -6.750;   59.000;    0.000
 356.09;    3.350;  -42.000;    0.000
 356.68;  -15.850;    5.000;    0.000
 357.28;  -17.550;  -33.000;    0.000
 357.88;   -9.000;    5.000;    0.000
 358.47;  -13.450;   14.000;    0.000
 359.07;    1.700;  -10.000;    0.000
 359.67;  -19.300;  -45.000;    0.000
 360.26;   -0.650;  -55.000;    0.000
 360.86;  -24.100;    7.000;    0.000
 361.46;   -4.950;  -52.000;    0.000
 362.05;  -15.850;   -8.000;    0.000
 362.65;   -9.850;  -13.000;    0.000
 363.25;  -10.150;    3.000;    0.000
 363.84;   -6.950;   -1.000;    0.000
 364.44;   -4.050;  -19.000;    0.000
 365.04;   -1.200;    3.000;    0.000
 365.63;    3.100;  -30.000;    0.000
 366.23;   -8.250;   -9.000;    0.000
 366.83;    0.800;  -56.000;    0.000
 367.42;    1.750;   20.000;    0.000
 368.02;  -12.550;  -16.000;    0.000
 368.62;   -8.200;   -2.000;    0.000
 369.21;    3.650;  -28.000;    0.000
 369.81;    2.600;  -31.000;    0.000
 370.41;  -14.450;  -21.000;    0.000
 371.00;    2.300;   -5.000;    0.000
 371.60;   -2.650;  -36.000;    0.000
 372.19;   -0.800;   -9.000;    0.000
 372.79;  -14.050;  -23.000;    0.000
 373.39;    4.350;   47.000;    0.000
 373.98;  -15.750;   32.000;    0.000
 374.58;   -5.700;  -11.000;    0.000
 375.17;  -10.950;    2.000;    0.000
 375.77;    8.900;   34.000;    0.000
 376.37;  -13.950;  -18.000;    0.000
 376.96;   -3.650;   -5.000;    0.000
 377.56;   -9.150;   -7.000;    0.000
 378.15;   -5.600;  -10.000;    0.000
 378.75;  -17.100;  -10.000;    0.000
 379.35;  -15.650;    4.000;    0.000
