
Integration time [ms]:   1.050
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 332.18;   51.000;  -26.000;    0.000
 332.78;   40.800;  -26.000;    0.000
 333.38;   58.300;  -15.000;    0.000
 333.98;   48.100;   -6.000;    0.000
 334.57;   65.400;  -38.000;    0.000
 335.17;   56.200;  -28.000;    0.000
 335.77;   65.150;   10.000;    0.000
 336.37;   56.300;  -30.000;    0.000
 336.97;   62.300;  -22.000;    0.000
 337.56;   59.050;   14.000;    0.000
 338.16;   71.550;   -9.000;    0.000
 338.76;   67.500;  -48.000;    0.000
 339.36;   68.600;   24.000;    0.000
 339.96;   56.850;  -34.000;    0.000
 340.55;   54.500;  -14.000;    0.000
 341.15;   57.950;   -3.000;    0.000
 341.75;   58.250;    3.000;    0.000
 342.35;   59.500;   21.000;    0.000
 342.94;   63.550;  -36.000;    0.000
 343.54;   66.600;  -32.000;    0.000
 344.14;   62.300;   13.000;    0.000
 344.74;   57.850;   17.000;    0.000
 345.33;   74.600;   -5.000;    0.000
 345.93;   49.850;   13.000;    0.000
 346.53;   62.450;   17.000;    0.000
 347.13;   57.150;   -8.000;    0.000
 347.72;   58.550;  -35.000;    0.000
 348.32;   58.050;    3.000;    0.000
 348.92;   68.200;  -35.000;    0.000
 349.52;   56.850;    8.000;    0.000
 350.11;   55.950;  -61.000;    0.000
 350.71;   51.750;  -20.000;    0.000
 351.31;   67.300;   -8.000;    0.000
 351.91;   63.950;  -42.000;    0.000
 352.50;   73.300;  -13.000;    0.000
 353.10;   56.150;  -13.000;    0.000
 353.70;   73.250;   31.000;    0.000
 354.29;   60.700;  -19.000;    0.000
 354.89;   60.150;  -12.000;    0.000
 355.49;   64.850;   59.000;    0.000
 356.09;   54.750;  -42.000;    0.000
 356.68;   68.100;    5.000;    0.000
 357.28;   67.950;  -33.000;    0.000
 357.88;   66.950;    5.000;    0.000
 358.47;   67.550;   14.000;    0.000
 359.07;   66.900;  -10.000;    0.000
 359.67;   74.150;  -45.000;    0.000
 360.26;   44.700;  -55.000;    0.000
 360.86;   73.450;    7.000;    0.000
 361.46;   56.650;  -52.000;    0.000
 362.05;   74.200;   -8.000;    0.000
 362.65;   72.950;  -13.000;    0.000
 363.25;   77.450;    3.000;    0.000
 363.84;   66.700;   -1.000;    0.000
 364.44;   93.900;  -19.000;    0.000
 365.04;   75.250;    3.000;    0.000
 365.63;   84.500;  -30.000;    0.000
 366.23;   70.800;   -9.000;    0.000
 366.83;   91.050;  -56.000;    0.000
 367.42;   78.050;   20.000;    0.000
 368.02;   83.050;  -16.000;    0.000
 368.62;   93.350;   -2.000;    0.000
 369.21;   84.400;  -28.000;    0.000
 369.81;   75.600;  -31.000;    0.000
 370.41;   95.650;  -21.000;    0.000
 371.00;   87.750;   -5.000;    0.000
 371.60;  108.800;  -36.000;    0.000
 372.19;   94.000;   -9.000;    0.000
 372.79;   91.150;  -23.000;    0.000
 373.39;   92.700;   47.000;    0.000
 373.98;  101.300;   32.000;    0.000
 374.58;  105.050;  -11.000;    0.000
 375.17;  112.350;    2.000;    0.000
 375.77;   96.750;   34.000;    0.000
 376.37;  113.950;  -18.000;    0.000
 376.96;  107.150;   -5.000;    0.000
 377.56;  120.400;   -7.000;    0.000
 378.15;  117.650;  -10.000;    0.000
 378.75;  119.650;  -10.000;    0.000
 379.35;  117.550;    4.000;    0.000
 379.94;  138.350;   -8.000;    0.000
 380.54;  125.700;  -18.000;    0.000
 381.13;  144.600;  -32.000;    0.000
 381.73;  122.450;  -42.000;    0.000
 382.32;  139.500;   13.000;    0.000
 382.92;  140.200;  -63.000;    0.000
 383.52;  151.950;  -32.000;    0.000
 384.11;  144.300;   31.000;    0.000
 384.71;  157.850;  -54.000;    0.000
 385.30;  155.100;    2.000;    0.000
 385.90;  164.250;  -67.000;    0.000
 386.49;  168.450;   11.000;    0.000
 387.09;  173.250;  -20.000;    0.000
 387.68;  159.350;  -10.000;    0.000
 388.28;  172.500;  -14.000;    0.000
 388.87;  167.400;   26.000;    0.000
 389.47;  184.650;  -44.000;    0.000
 390.07;  171.450;  -31.000;    0.000
 390.66;  203.700;  -42.000;    0.000
 391.26;  185.450;   -8.000;    0.000
 391.85;  202.450;   -6.000;    0.000
 392.45;  196.900;  -61.000;    0.000
 393.04;  191.650;  -21.000;    0.000
 393.64;  214.700;    0.000;    0.000
 394.23;  213.000;  -23.000;    0.000
 394.83;  202.450;   14.000;    0.000
 395.42;  215.950;  -26.000;    0.000
 396.02;  208.550;  -27.000;    0.000
 396.61;  235.350;  -81.000;    0.000
 397.21;  215.050;   24.000;    0.000
 397.80;  240.300;   64.000;    0.000
 398.40;  242.900;  -34.000;    0.000
 398.99;  252.500;    5.000;    0.000
 399.59;  242.550;  -27.000;    0.000
 400.18;  263.900;  -29.000;    0.000
 400.78;  243.850;   53.000;    0.000
 401.37;  261.700;    2.000;    0.000
 401.96;  266.000;  -10.000;    0.000
 402.56;  280.950;    3.000;    0.000
