LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-0.530000,-0.530000,-1.800693800000e-10,1.085814088008e-11,10,-1.783880000000e-10;-1.759017000000e-10;-1.820542000000e-10;-1.851304000000e-10;-1.764495000000e-10;-1.983202000000e-10;-1.715613000000e-10;-1.764496000000e-10;-1.596357000000e-10;-1.968032000000e-10
0.0,-0.520000,-0.520000,-1.768330200000e-10,6.500715215697e-12,10,-1.815906000000e-10;-1.776295000000e-10;-1.592986000000e-10;-1.824756000000e-10;-1.789358000000e-10;-1.785144000000e-10;-1.836133000000e-10;-1.747639000000e-10;-1.760703000000e-10;-1.754382000000e-10
0.0,-0.510000,-0.510000,-1.836006900000e-10,1.202994965139e-11,10,-1.921678000000e-10;-1.902714000000e-10;-1.980252000000e-10;-1.940640000000e-10;-1.843297000000e-10;-1.937690000000e-10;-1.763653000000e-10;-1.730362000000e-10;-1.571916000000e-10;-1.767867000000e-10
0.0,-0.500000,-0.500000,-1.732005700000e-10,6.794763767056e-12,10,-1.854675000000e-10;-1.637233000000e-10;-1.816749000000e-10;-1.757332000000e-10;-1.714771000000e-10;-1.648611000000e-10;-1.748482000000e-10;-1.655353000000e-10;-1.761546000000e-10;-1.725305000000e-10
0.0,-0.490000,-0.490000,-1.829854500000e-10,6.626668580705e-12,10,-1.859732000000e-10;-1.850040000000e-10;-1.789779000000e-10;-1.802000000000e-10;-1.830655000000e-10;-1.827284000000e-10;-1.879116000000e-10;-1.977723000000e-10;-1.731627000000e-10;-1.750589000000e-10
0.0,-0.480000,-0.480000,-1.782995000000e-10,1.330816422750e-11,10,-1.704235000000e-10;-1.981095000000e-10;-1.874902000000e-10;-1.968874000000e-10;-1.661674000000e-10;-1.708028000000e-10;-1.609421000000e-10;-1.614899000000e-10;-1.850040000000e-10;-1.856782000000e-10
0.0,-0.470000,-0.470000,-1.769383400000e-10,1.124820265706e-11,10,-1.771659000000e-10;-1.774609000000e-10;-1.648189000000e-10;-1.686115000000e-10;-1.807478000000e-10;-1.628805000000e-10;-1.982358000000e-10;-1.769552000000e-10;-1.944011000000e-10;-1.681058000000e-10
0.0,-0.460000,-0.460000,-1.776757900000e-10,8.700650088982e-12,10,-1.743004000000e-10;-1.826441000000e-10;-1.642711000000e-10;-1.756067000000e-10;-1.861417000000e-10;-1.949911000000e-10;-1.671366000000e-10;-1.756067000000e-10;-1.730362000000e-10;-1.830233000000e-10
0.0,-0.450000,-0.450000,-1.796437400000e-10,7.838918611033e-12,10,-1.828548000000e-10;-1.828548000000e-10;-1.685272000000e-10;-1.785144000000e-10;-1.778402000000e-10;-1.923784000000e-10;-1.831919000000e-10;-1.772502000000e-10;-1.649875000000e-10;-1.880380000000e-10
0.0,-0.440000,-0.440000,-1.737778800000e-10,9.779929413938e-12,10,-1.951175000000e-10;-1.784723000000e-10;-1.811692000000e-10;-1.659567000000e-10;-1.694122000000e-10;-1.659567000000e-10;-1.630069000000e-10;-1.692015000000e-10;-1.662517000000e-10;-1.832341000000e-10
0.0,-0.430000,-0.430000,-1.837271000000e-10,1.016627247746e-11,10,-1.730362000000e-10;-1.825598000000e-10;-1.889651000000e-10;-1.785987000000e-10;-2.013542000000e-10;-1.919570000000e-10;-1.904400000000e-10;-1.634283000000e-10;-1.796943000000e-10;-1.872374000000e-10
