LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-0.510000,-0.510000,1.018891680000e-08,1.734241735657e-10,5,1.032472000000e-08;1.000784000000e-08;1.038816000000e-08;9.957664000000e-09;1.026620000000e-08
0.0,-0.500000,-0.500000,1.095349600000e-08,1.240014029921e-10,5,1.093862000000e-08;1.091962000000e-08;1.110521000000e-08;1.074840000000e-08;1.105563000000e-08
0.0,-0.490000,-0.490000,1.179375200000e-08,1.991306985274e-10,5,1.158181000000e-08;1.201868000000e-08;1.164704000000e-08;1.205073000000e-08;1.167050000000e-08
0.0,-0.480000,-0.480000,1.270434600000e-08,1.445592130028e-10,5,1.272228000000e-08;1.289013000000e-08;1.255346000000e-08;1.282874000000e-08;1.252712000000e-08
0.0,-0.470000,-0.470000,1.374055000000e-08,1.672032186293e-10,5,1.381133000000e-08;1.359773000000e-08;1.384467000000e-08;1.349755000000e-08;1.395147000000e-08
0.0,-0.460000,-0.460000,1.478248200000e-08,1.434668645228e-10,5,1.466380000000e-08;1.494587000000e-08;1.458754000000e-08;1.493774000000e-08;1.477746000000e-08
0.0,-0.450000,-0.450000,1.593067000000e-08,8.780531942884e-11,5,1.603481000000e-08;1.576887000000e-08;1.594326000000e-08;1.593997000000e-08;1.596644000000e-08
0.0,-0.440000,-0.440000,1.706970200000e-08,1.696241390133e-10,5,1.719614000000e-08;1.677094000000e-08;1.723967000000e-08;1.700115000000e-08;1.714061000000e-08
0.0,-0.430000,-0.430000,1.828963400000e-08,1.489443860775e-10,5,1.835686000000e-08;1.802596000000e-08;1.839215000000e-08;1.823182000000e-08;1.844138000000e-08
0.0,-0.420000,-0.420000,1.923510400000e-08,1.965318226242e-10,5,1.944646000000e-08;1.942218000000e-08;1.911053000000e-08;1.927201000000e-08;1.892434000000e-08
0.0,-0.410000,-0.410000,1.996244400000e-08,1.898253802419e-10,5,2.014996000000e-08;2.011835000000e-08;1.989877000000e-08;2.001944000000e-08;1.962570000000e-08
0.0,-0.400000,-0.400000,2.083405400000e-08,1.241974694750e-10,5,2.100903000000e-08;2.084897000000e-08;2.089507000000e-08;2.063415000000e-08;2.078305000000e-08
0.0,-0.390000,-0.390000,2.177498000000e-08,1.056049877610e-10,5,2.190319000000e-08;2.175291000000e-08;2.185335000000e-08;2.159420000000e-08;2.177125000000e-08
0.0,-0.380000,-0.380000,2.291602400000e-08,1.378660025677e-10,5,2.295354000000e-08;2.281198000000e-08;2.307321000000e-08;2.270640000000e-08;2.303499000000e-08
0.0,-0.370000,-0.370000,2.455886800000e-08,2.469282427265e-10,5,2.432651000000e-08;2.437153000000e-08;2.438532000000e-08;2.492511000000e-08;2.478587000000e-08
0.0,-0.360000,-0.360000,2.667078000000e-08,1.000502171912e-10,5,2.670213000000e-08;2.663098000000e-08;2.684536000000e-08;2.654768000000e-08;2.662775000000e-08
0.0,-0.350000,-0.350000,2.834796000000e-08,1.392897743555e-10,5,2.843469000000e-08;2.832014000000e-08;2.825870000000e-08;2.816278000000e-08;2.856349000000e-08
0.0,-0.340000,-0.340000,2.994021600000e-08,9.333967700823e-11,5,2.987456000000e-08;3.005277000000e-08;3.005083000000e-08;2.989262000000e-08;2.983030000000e-08
0.0,-0.330000,-0.330000,3.167033400000e-08,1.481909760545e-10,5,3.189148000000e-08;3.142578000000e-08;3.168243000000e-08;3.169697000000e-08;3.165501000000e-08
0.0,-0.320000,-0.320000,3.315741200000e-08,1.231431652021e-10,5,3.325833000000e-08;3.315604000000e-08;3.308093000000e-08;3.297337000000e-08;3.331839000000e-08
0.0,-0.310000,-0.310000,3.483120000000e-08,1.279040318364e-10,5,3.483803000000e-08;3.493563000000e-08;3.491840000000e-08;3.458441000000e-08;3.487953000000e-08
0.0,-0.300000,-0.300000,3.679964200000e-08,1.280268767720e-10,5,3.679004000000e-08;3.683347000000e-08;3.693591000000e-08;3.656244000000e-08;3.687635000000e-08
0.0,-0.290000,-0.290000,3.886322000000e-08,1.299249132384e-10,5,3.873622000000e-08;3.909829000000e-08;3.882088000000e-08;3.889767000000e-08;3.876304000000e-08
0.0,-0.280000,-0.280000,4.056381400000e-08,3.391317142704e-10,5,4.058638000000e-08;4.092493000000e-08;4.047333000000e-08;4.086048000000e-08;3.997395000000e-08
0.0,-0.270000,-0.270000,4.156633800000e-08,1.439329101213e-10,5,4.177227000000e-08;4.157936000000e-08;4.149003000000e-08;4.134500000000e-08;4.164503000000e-08
0.0,-0.260000,-0.260000,4.278787600000e-08,1.430397068789e-10,5,4.264157000000e-08;4.304983000000e-08;4.282091000000e-08;4.272166000000e-08;4.270541000000e-08
0.0,-0.250000,-0.250000,4.413758000000e-08,1.701840139379e-10,5,4.412039000000e-08;4.428596000000e-08;4.416808000000e-08;4.428965000000e-08;4.382382000000e-08
0.0,-0.240000,-0.240000,4.549128000000e-08,2.709166245176e-10,5,4.571298000000e-08;4.585202000000e-08;4.512264000000e-08;4.550468000000e-08;4.526408000000e-08
0.0,-0.230000,-0.230000,4.615629000000e-08,5.757970718578e-10,5,4.717930000000e-08;4.624282000000e-08;4.600905000000e-08;4.543123000000e-08;4.591905000000e-08
0.0,-0.220000,-0.220000,4.748478000000e-08,2.969975798555e-10,5,4.723234000000e-08;4.798223000000e-08;4.746750000000e-08;4.759854000000e-08;4.714329000000e-08
0.0,-0.210000,-0.210000,4.836069800000e-08,5.114943538848e-10,5,4.910655000000e-08;4.865611000000e-08;4.846044000000e-08;4.783305000000e-08;4.774734000000e-08
0.0,-0.200000,-0.200000,4.846754200000e-08,4.750699641274e-10,5,4.916091000000e-08;4.861917000000e-08;4.868887000000e-08;4.799437000000e-08;4.787439000000e-08
0.0,-0.190000,-0.190000,4.871900800000e-08,4.712486919409e-10,5,4.909413000000e-08;4.923390000000e-08;4.876962000000e-08;4.860897000000e-08;4.788842000000e-08
0.0,-0.180000,-0.180000,4.883437200000e-08,3.727806269322e-10,5,4.934309000000e-08;4.914923000000e-08;4.867400000000e-08;4.871638000000e-08;4.828916000000e-08
0.0,-0.170000,-0.170000,4.919275200000e-08,3.733154468489e-10,5,4.989721000000e-08;4.911320000000e-08;4.918455000000e-08;4.883966000000e-08;4.892914000000e-08
0.0,-0.160000,-0.160000,4.967078200000e-08,4.048414234438e-10,5,5.035141000000e-08;4.983415000000e-08;4.963436000000e-08;4.923440000000e-08;4.929959000000e-08
0.0,-0.150000,-0.150000,5.022417800000e-08,2.701331126241e-10,5,5.019159000000e-08;5.072466000000e-08;5.023193000000e-08;4.997812000000e-08;4.999459000000e-08
0.0,-0.140000,-0.140000,5.077780200000e-08,4.903767711220e-10,5,5.139539000000e-08;5.122429000000e-08;5.056006000000e-08;5.068329000000e-08;5.002598000000e-08
0.0,-0.130000,-0.130000,5.155527400000e-08,1.730230268606e-10,5,5.174865000000e-08;5.144416000000e-08;5.168222000000e-08;5.127468000000e-08;5.162666000000e-08
0.0,-0.120000,-0.120000,5.217977200000e-08,3.503870576605e-10,5,5.272585000000e-08;5.231933000000e-08;5.225380000000e-08;5.176713000000e-08;5.183275000000e-08
0.0,-0.110000,-0.110000,5.263018800000e-08,2.728464303890e-10,5,5.249509000000e-08;5.297293000000e-08;5.287669000000e-08;5.259366000000e-08;5.221257000000e-08
0.0,-0.100000,-0.100000,5.337695400000e-08,4.538080854282e-11,5,5.344006000000e-08;5.332283000000e-08;5.334831000000e-08;5.342122000000e-08;5.335235000000e-08
0.0,-0.090000,-0.090000,5.399321600000e-08,3.325313615044e-10,5,5.452048000000e-08;5.418053000000e-08;5.394365000000e-08;5.357067000000e-08;5.375075000000e-08
0.0,-0.080000,-0.080000,5.486525400000e-08,1.765858488781e-10,5,5.520645000000e-08;5.481646000000e-08;5.482356000000e-08;5.478435000000e-08;5.469545000000e-08
0.0,-0.070000,-0.070000,5.568719000000e-08,2.845202271896e-10,5,5.548721000000e-08;5.594920000000e-08;5.560904000000e-08;5.607596000000e-08;5.531454000000e-08
0.0,-0.060000,-0.060000,5.677154400000e-08,1.668516960177e-10,5,5.701564000000e-08;5.676739000000e-08;5.687649000000e-08;5.653161000000e-08;5.666659000000e-08
0.0,-0.050000,-0.050000,5.814839600000e-08,3.620166092654e-10,5,5.755282000000e-08;5.842335000000e-08;5.794798000000e-08;5.856554000000e-08;5.825229000000e-08
0.0,-0.040000,-0.040000,5.914336800000e-08,3.727924759648e-10,5,5.895986000000e-08;5.928224000000e-08;5.917231000000e-08;5.971732000000e-08;5.858511000000e-08
0.0,-0.030000,-0.030000,6.025335600000e-08,2.899622004745e-10,5,6.068711000000e-08;6.045325000000e-08;6.010752000000e-08;6.017076000000e-08;5.984814000000e-08
0.0,-0.020000,-0.020000,6.110465000000e-08,3.393029656222e-10,5,6.140600000000e-08;6.154750000000e-08;6.078921000000e-08;6.111082000000e-08;6.066972000000e-08
0.0,-0.010000,-0.010000,6.214711000000e-08,2.231790195336e-10,5,6.219179000000e-08;6.252161000000e-08;6.183084000000e-08;6.206849000000e-08;6.212282000000e-08
0.0,0.000000,0.000000,6.319664333333e-08,2.440421047461e-11,3,6.322048000000e-08;6.316311000000e-08;6.320634000000e-08
0.0,0.100000,0.100000,7.689805666667e-08,2.917061344725e-11,3,7.692960000000e-08;7.690531000000e-08;7.685926000000e-08
0.0,0.200000,0.200000,9.043946666667e-08,2.051083090034e-10,3,9.015006000000e-08;9.056723000000e-08;9.060111000000e-08
0.0,0.300000,0.300000,1.040785333333e-07,2.104391651338e-10,3,1.041130000000e-07;1.038053000000e-07;1.043173000000e-07
0.0,0.400000,0.400000,1.176646000000e-07,4.982074534435e-11,3,1.176546000000e-07;1.177300000000e-07;1.176092000000e-07
0.0,0.500000,0.500000,1.310791333333e-07,2.978246277407e-10,3,1.308197000000e-07;1.309215000000e-07;1.314962000000e-07
