LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
3.5,-0.210000,-0.210000,5.121156000000e-08,3.301620214077e-10,10,5.083593000000e-08;5.143328000000e-08;5.165939000000e-08;5.138611000000e-08;5.097000000000e-08;5.140375000000e-08;5.074968000000e-08;5.073643000000e-08;5.148291000000e-08;5.145812000000e-08
3.5,-0.200000,-0.200000,5.328605300000e-08,3.925102342373e-10,10,5.286172000000e-08;5.300149000000e-08;5.366051000000e-08;5.273685000000e-08;5.334658000000e-08;5.276357000000e-08;5.389370000000e-08;5.345517000000e-08;5.354315000000e-08;5.359779000000e-08
3.5,-0.190000,-0.190000,5.551315800000e-08,3.747916845342e-10,10,5.535961000000e-08;5.621145000000e-08;5.502762000000e-08;5.511070000000e-08;5.584348000000e-08;5.601427000000e-08;5.557638000000e-08;5.528670000000e-08;5.546790000000e-08;5.523347000000e-08
3.5,-0.180000,-0.180000,5.772834600000e-08,4.554180088490e-10,10,5.837207000000e-08;5.826558000000e-08;5.727203000000e-08;5.821666000000e-08;5.761082000000e-08;5.760504000000e-08;5.783672000000e-08;5.709740000000e-08;5.794202000000e-08;5.706512000000e-08
3.5,-0.170000,-0.170000,5.968199100000e-08,3.930232640811e-10,10,5.947098000000e-08;5.943647000000e-08;5.977227000000e-08;5.938411000000e-08;6.013421000000e-08;6.014317000000e-08;6.028709000000e-08;5.901574000000e-08;5.936650000000e-08;5.980937000000e-08
3.5,-0.160000,-0.160000,6.189454600000e-08,4.303579613578e-10,10,6.215610000000e-08;6.239601000000e-08;6.123845000000e-08;6.144814000000e-08;6.153369000000e-08;6.233449000000e-08;6.252407000000e-08;6.148088000000e-08;6.198852000000e-08;6.184511000000e-08
3.5,-0.150000,-0.150000,6.419880100000e-08,5.676742892971e-10,10,6.361294000000e-08;6.380480000000e-08;6.482215000000e-08;6.350735000000e-08;6.473095000000e-08;6.473763000000e-08;6.399812000000e-08;6.435391000000e-08;6.499088000000e-08;6.342928000000e-08
3.5,-0.140000,-0.140000,6.660208800000e-08,4.953943667584e-10,10,6.692817000000e-08;6.657779000000e-08;6.549392000000e-08;6.702788000000e-08;6.656843000000e-08;6.726073000000e-08;6.644314000000e-08;6.670618000000e-08;6.698108000000e-08;6.603356000000e-08
3.5,-0.130000,-0.130000,6.876279800000e-08,4.296736972122e-10,10,6.859519000000e-08;6.872774000000e-08;6.834303000000e-08;6.884706000000e-08;6.826468000000e-08;6.892738000000e-08;6.833422000000e-08;6.937930000000e-08;6.963423000000e-08;6.857515000000e-08
3.5,-0.120000,-0.120000,7.111473700000e-08,4.397491753500e-10,10,7.102046000000e-08;7.091440000000e-08;7.185793000000e-08;7.083100000000e-08;7.159458000000e-08;7.057130000000e-08;7.138219000000e-08;7.154236000000e-08;7.043828000000e-08;7.099487000000e-08
