LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-0.840000,-0.840000,-1.900154000000e-10,9.964445584577e-12,10,-1.956243000000e-10;-1.928009000000e-10;-1.906096000000e-10;-1.938123000000e-10;-1.879125000000e-10;-2.078452000000e-10;-1.857213000000e-10;-1.940651000000e-10;-1.663365000000e-10;-1.854263000000e-10
0.0,-0.830000,-0.830000,-1.847140600000e-10,9.735218843478e-12,10,-1.699606000000e-10;-1.807065000000e-10;-1.748911000000e-10;-1.904831000000e-10;-1.875754000000e-10;-2.002598000000e-10;-1.822657000000e-10;-1.947393000000e-10;-1.936858000000e-10;-1.725733000000e-10
0.0,-0.820000,-0.820000,-1.825859600000e-10,9.858645857236e-12,10,-1.987427000000e-10;-1.745118000000e-10;-1.782623000000e-10;-1.759446000000e-10;-1.717726000000e-10;-1.957086000000e-10;-1.706348000000e-10;-1.871119000000e-10;-1.936016000000e-10;-1.795687000000e-10
0.0,-0.810000,-0.810000,-1.883887200000e-10,8.902446210093e-12,10,-1.886711000000e-10;-1.937280000000e-10;-1.933908000000e-10;-1.780937000000e-10;-1.826871000000e-10;-1.839091000000e-10;-1.938965000000e-10;-1.940651000000e-10;-2.037996000000e-10;-1.716462000000e-10
0.0,-0.800000,-0.800000,-1.869938700000e-10,9.261838255125e-12,10,-1.988691000000e-10;-1.779673000000e-10;-1.826028000000e-10;-1.929694000000e-10;-1.819286000000e-10;-2.017768000000e-10;-1.753546000000e-10;-1.949079000000e-10;-1.753125000000e-10;-1.882497000000e-10
0.0,-0.790000,-0.790000,-1.833318500000e-10,1.059649618065e-11,10,-2.034625000000e-10;-1.861427000000e-10;-1.855948000000e-10;-1.685699000000e-10;-1.904831000000e-10;-1.767874000000e-10;-1.915788000000e-10;-1.708877000000e-10;-1.884604000000e-10;-1.713512000000e-10
0.0,-0.780000,-0.780000,-1.886373500000e-10,1.140177952078e-11,10,-1.736268000000e-10;-1.991220000000e-10;-1.810857000000e-10;-1.901460000000e-10;-1.775880000000e-10;-1.849627000000e-10;-1.775038000000e-10;-1.991220000000e-10;-1.916209000000e-10;-2.115956000000e-10
0.0,-0.770000,-0.770000,-1.824932300000e-10,1.201877991637e-11,10,-1.681907000000e-10;-1.842042000000e-10;-1.908624000000e-10;-1.940651000000e-10;-1.772931000000e-10;-1.884182000000e-10;-1.595939000000e-10;-1.944865000000e-10;-1.716883000000e-10;-1.961299000000e-10
0.0,-0.760000,-0.760000,-1.817768200000e-10,9.008184072586e-12,10,-1.785573000000e-10;-1.723204000000e-10;-1.865219000000e-10;-1.732897000000e-10;-1.903988000000e-10;-1.733318000000e-10;-1.823499000000e-10;-1.873647000000e-10;-1.728683000000e-10;-2.007654000000e-10
0.0,-0.750000,-0.750000,-1.836057200000e-10,1.399127442750e-11,10,-1.666314000000e-10;-2.045581000000e-10;-1.785573000000e-10;-1.968042000000e-10;-1.718569000000e-10;-1.713091000000e-10;-1.887974000000e-10;-1.688228000000e-10;-2.058644000000e-10;-1.828556000000e-10
0.0,-0.740000,-0.740000,-1.827587000000e-10,1.199744098948e-11,10,-1.781359000000e-10;-1.702555000000e-10;-2.081822000000e-10;-1.829399000000e-10;-1.928008000000e-10;-1.697499000000e-10;-1.894296000000e-10;-1.771245000000e-10;-1.906095000000e-10;-1.683592000000e-10
0.0,-0.730000,-0.730000,-1.864502100000e-10,1.308056194905e-11,10,-2.006390000000e-10;-1.681906000000e-10;-1.913680000000e-10;-1.659572000000e-10;-2.005125000000e-10;-1.886710000000e-10;-1.830242000000e-10;-2.067073000000e-10;-1.768295000000e-10;-1.826028000000e-10
0.0,-0.720000,-0.720000,-1.861552300000e-10,1.090690202459e-11,10,-1.773773000000e-10;-2.084772000000e-10;-1.888817000000e-10;-1.796951000000e-10;-1.682749000000e-10;-1.842884000000e-10;-1.843727000000e-10;-1.992905000000e-10;-1.797372000000e-10;-1.911573000000e-10
0.0,-0.710000,-0.710000,-1.831084300000e-10,1.312586247650e-11,10,-1.814228000000e-10;-1.768716000000e-10;-1.968884000000e-10;-1.679378000000e-10;-1.958349000000e-10;-1.877439000000e-10;-2.063280000000e-10;-1.731211000000e-10;-1.827713000000e-10;-1.621645000000e-10
0.0,-0.700000,-0.700000,-1.848235500000e-10,1.040243618132e-11,10,-2.073814000000e-10;-1.807064000000e-10;-1.808328000000e-10;-1.661257000000e-10;-1.975206000000e-10;-1.815071000000e-10;-1.832349000000e-10;-1.850469000000e-10;-1.850469000000e-10;-1.808328000000e-10
0.0,-0.690000,-0.690000,-1.861846800000e-10,1.071318394249e-11,10,-1.777144000000e-10;-1.919158000000e-10;-1.760709000000e-10;-2.020717000000e-10;-1.802007000000e-10;-2.062858000000e-10;-1.881653000000e-10;-1.887974000000e-10;-1.744696000000e-10;-1.761552000000e-10
0.0,-0.680000,-0.680000,-1.837700300000e-10,7.761317254829e-12,10,-1.693284000000e-10;-1.970149000000e-10;-1.839091000000e-10;-1.908623000000e-10;-1.785151000000e-10;-1.885867000000e-10;-1.733739000000e-10;-1.852997000000e-10;-1.845412000000e-10;-1.862690000000e-10
0.0,-0.670000,-0.670000,-1.868168000000e-10,1.133963299300e-11,10,-1.882074000000e-10;-1.797372000000e-10;-1.946128000000e-10;-1.944021000000e-10;-2.013975000000e-10;-1.961299000000e-10;-1.970570000000e-10;-1.712247000000e-10;-1.785994000000e-10;-1.668000000000e-10
0.0,-0.660000,-0.660000,-1.894927200000e-10,8.322757235772e-12,10,-1.928429000000e-10;-2.050637000000e-10;-1.833613000000e-10;-1.897245000000e-10;-1.807907000000e-10;-1.869432000000e-10;-1.776301000000e-10;-1.841619000000e-10;-2.011446000000e-10;-1.932643000000e-10
0.0,-0.650000,-0.650000,-1.862563100000e-10,7.448570212524e-12,10,-1.842883000000e-10;-1.751017000000e-10;-1.832770000000e-10;-1.874489000000e-10;-1.775037000000e-10;-1.826449000000e-10;-1.903987000000e-10;-2.011867000000e-10;-1.954978000000e-10;-1.852154000000e-10
0.0,-0.640000,-0.640000,-1.874826100000e-10,8.389544783533e-12,10,-1.839512000000e-10;-1.804535000000e-10;-1.865218000000e-10;-1.827292000000e-10;-1.945285000000e-10;-2.018610000000e-10;-1.996276000000e-10;-1.896823000000e-10;-1.808750000000e-10;-1.745960000000e-10
0.0,-0.630000,-0.630000,-1.888353200000e-10,8.861619962264e-12,10,-1.978155000000e-10;-1.779673000000e-10;-1.887552000000e-10;-1.859740000000e-10;-1.898509000000e-10;-1.912837000000e-10;-1.976048000000e-10;-2.024509000000e-10;-1.849626000000e-10;-1.716883000000e-10
0.0,-0.620000,-0.620000,-1.945495800000e-10,8.572600595129e-12,10,-1.858897000000e-10;-1.779673000000e-10;-1.891766000000e-10;-1.914944000000e-10;-2.011025000000e-10;-1.969305000000e-10;-2.032095000000e-10;-2.094041000000e-10;-1.942335000000e-10;-1.960877000000e-10
0.0,-0.610000,-0.610000,-1.871159600000e-10,8.315530207052e-12,10,-1.718147000000e-10;-1.945285000000e-10;-1.845412000000e-10;-1.921686000000e-10;-1.828977000000e-10;-1.893030000000e-10;-1.797793000000e-10;-1.895138000000e-10;-1.830241000000e-10;-2.035887000000e-10
0.0,-0.600000,-0.600000,-1.978955200000e-10,5.190945898736e-12,10,-1.944863000000e-10;-2.026616000000e-10;-1.931800000000e-10;-1.995011000000e-10;-2.001332000000e-10;-2.011867000000e-10;-2.030409000000e-10;-1.946549000000e-10;-2.034623000000e-10;-1.866482000000e-10
