LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,1.100000,1.100000,4.477047333333e-07,1.235322719867e-11,3,4.477215000000e-07;4.476921000000e-07;4.477006000000e-07
12.0,1.200000,1.200000,4.650735666667e-07,1.129611535980e-11,3,4.650747000000e-07;4.650868000000e-07;4.650592000000e-07
12.0,1.300000,1.300000,4.808454000000e-07,1.382558015662e-11,3,4.808390000000e-07;4.808646000000e-07;4.808326000000e-07
12.0,1.400000,1.400000,4.953457666667e-07,1.077043277786e-11,3,4.953557000000e-07;4.953308000000e-07;4.953508000000e-07
12.0,1.500000,1.500000,5.086056666667e-07,2.005863626693e-11,3,5.086340000000e-07;5.085903000000e-07;5.085927000000e-07
12.0,1.600000,1.600000,5.206925333333e-07,1.128253320651e-11,3,5.206981000000e-07;5.206768000000e-07;5.207027000000e-07
12.0,1.700000,1.700000,5.317747000000e-07,1.075577364335e-11,3,5.317896000000e-07;5.317646000000e-07;5.317699000000e-07
12.0,1.800000,1.800000,5.418460000000e-07,1.006214026273e-11,3,5.418523000000e-07;5.418539000000e-07;5.418318000000e-07
12.0,1.900000,1.900000,5.511304666667e-07,1.717407607088e-11,3,5.511525000000e-07;5.511106000000e-07;5.511283000000e-07
12.0,2.000000,2.000000,5.596298000000e-07,1.464604611035e-11,3,5.596494000000e-07;5.596142000000e-07;5.596258000000e-07
12.0,2.100000,2.100000,5.674347333333e-07,1.092560702613e-11,3,5.674492000000e-07;5.674322000000e-07;5.674228000000e-07
12.0,2.200000,2.200000,5.746422666667e-07,6.154311948177e-12,3,5.746414000000e-07;5.746352000000e-07;5.746502000000e-07
12.0,2.300000,2.300000,5.812422000000e-07,5.236410984609e-12,3,5.812401000000e-07;5.812371000000e-07;5.812494000000e-07
12.0,2.400000,2.400000,5.872815666667e-07,1.276827666090e-11,3,5.872950000000e-07;5.872853000000e-07;5.872644000000e-07
12.0,2.500000,2.500000,5.927753333333e-07,1.843354430259e-11,3,5.927956000000e-07;5.927794000000e-07;5.927510000000e-07
12.0,2.600000,2.600000,5.977353333333e-07,1.841472840476e-11,3,5.977602000000e-07;5.977296000000e-07;5.977162000000e-07
12.0,2.700000,2.700000,6.022517333333e-07,2.678722747027e-12,3,6.022495000000e-07;6.022555000000e-07;6.022502000000e-07
12.0,2.800000,2.800000,6.063290666667e-07,6.583987309260e-12,3,6.063379000000e-07;6.063221000000e-07;6.063272000000e-07
12.0,2.900000,2.900000,6.100427333333e-07,7.413651072341e-12,3,6.100445000000e-07;6.100329000000e-07;6.100508000000e-07
12.0,3.000000,3.000000,6.134319666667e-07,6.481940724468e-12,3,6.134405000000e-07;6.134248000000e-07;6.134306000000e-07
12.0,3.100000,3.100000,6.165365666667e-07,8.548814082781e-12,3,6.165482000000e-07;6.165336000000e-07;6.165279000000e-07
12.0,3.200000,3.200000,6.194116000000e-07,1.172717641494e-11,3,6.194213000000e-07;6.194184000000e-07;6.193951000000e-07
12.0,3.300000,3.300000,6.220611333333e-07,6.064285246886e-12,3,6.220689000000e-07;6.220541000000e-07;6.220604000000e-07
12.0,3.400000,3.400000,6.245092666667e-07,1.688418063030e-11,3,6.245282000000e-07;6.245124000000e-07;6.244872000000e-07
12.0,3.500000,3.500000,6.267790000000e-07,1.826599755465e-11,3,6.267601000000e-07;6.268037000000e-07;6.267732000000e-07
12.0,3.600000,3.600000,6.288887333333e-07,6.462885492471e-12,3,6.288936000000e-07;6.288930000000e-07;6.288796000000e-07
12.0,3.700000,3.700000,6.308699333333e-07,6.175938974909e-12,3,6.308742000000e-07;6.308744000000e-07;6.308612000000e-07
12.0,3.800000,3.800000,6.327090000000e-07,1.390635346401e-11,3,6.327134000000e-07;6.327234000000e-07;6.326902000000e-07
12.0,3.900000,3.900000,6.344463666667e-07,1.485537687918e-11,3,6.344634000000e-07;6.344272000000e-07;6.344485000000e-07
