LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
4.1,-3.320000,-3.320000,-1.217940666667e-08,1.782814503967e-11,3,-1.216088000000e-08;-1.220348000000e-08;-1.217386000000e-08,550,RCA 929  green 4.1V
4.1,-3.300000,-3.300000,-1.218145000000e-08,1.697568457137e-11,3,-1.216429000000e-08;-1.220457000000e-08;-1.217549000000e-08,550,RCA 929  green 4.1V
4.1,-3.280000,-3.280000,-1.217690666667e-08,8.516041072914e-12,3,-1.216905000000e-08;-1.218874000000e-08;-1.217293000000e-08,550,RCA 929  green 4.1V
4.1,-3.260000,-3.260000,-1.217627666667e-08,9.051380496305e-12,3,-1.216526000000e-08;-1.218743000000e-08;-1.217614000000e-08,550,RCA 929  green 4.1V
4.1,-3.240000,-3.240000,-1.216870333333e-08,2.681713424080e-11,3,-1.218684000000e-08;-1.213079000000e-08;-1.218848000000e-08,550,RCA 929  green 4.1V
4.1,-3.220000,-3.220000,-1.216842333333e-08,1.522019783782e-11,3,-1.216863000000e-08;-1.214968000000e-08;-1.218696000000e-08,550,RCA 929  green 4.1V
4.1,-3.200000,-3.200000,-1.216769000000e-08,1.981780176172e-11,3,-1.219004000000e-08;-1.214187000000e-08;-1.217116000000e-08,550,RCA 929  green 4.1V
4.1,-3.180000,-3.180000,-1.215650666667e-08,1.902853004190e-11,3,-1.213980000000e-08;-1.218313000000e-08;-1.214659000000e-08,550,RCA 929  green 4.1V
4.1,-3.160000,-3.160000,-1.216281666667e-08,9.269283803090e-12,3,-1.217356000000e-08;-1.215094000000e-08;-1.216395000000e-08,550,RCA 929  green 4.1V
4.1,-3.140000,-3.140000,-1.214276333333e-08,6.443960135058e-12,3,-1.213463000000e-08;-1.215039000000e-08;-1.214327000000e-08,550,RCA 929  green 4.1V
4.1,-3.120000,-3.120000,-1.213901333333e-08,1.420571090168e-11,3,-1.212498000000e-08;-1.215848000000e-08;-1.213358000000e-08,550,RCA 929  green 4.1V
4.1,-3.100000,-3.100000,-1.213183333333e-08,1.732446503904e-11,3,-1.211996000000e-08;-1.215633000000e-08;-1.211921000000e-08,550,RCA 929  green 4.1V
4.1,-3.080000,-3.080000,-1.213507000000e-08,2.134566935001e-11,3,-1.211197000000e-08;-1.216345000000e-08;-1.212979000000e-08,550,RCA 929  green 4.1V
4.1,-3.060000,-3.060000,-1.213620333333e-08,2.043968416803e-11,3,-1.213168000000e-08;-1.216319000000e-08;-1.211374000000e-08,550,RCA 929  green 4.1V
4.1,-3.040000,-3.040000,-1.213360000000e-08,2.243889628896e-11,3,-1.215051000000e-08;-1.210189000000e-08;-1.214840000000e-08,550,RCA 929  green 4.1V
4.1,-3.020000,-3.020000,-1.212494666667e-08,1.565841697689e-11,3,-1.213551000000e-08;-1.210281000000e-08;-1.213652000000e-08,550,RCA 929  green 4.1V
4.1,-3.000000,-3.000000,-1.213469666667e-08,9.554148604431e-12,3,-1.214010000000e-08;-1.212127000000e-08;-1.214272000000e-08,550,RCA 929  green 4.1V
4.1,-2.980000,-2.980000,-1.211416333333e-08,2.125607102819e-11,3,-1.210408000000e-08;-1.214373000000e-08;-1.209468000000e-08,550,RCA 929  green 4.1V
4.1,-2.960000,-2.960000,-1.210601666667e-08,1.380472463406e-11,3,-1.209194000000e-08;-1.212477000000e-08;-1.210134000000e-08,550,RCA 929  green 4.1V
4.1,-2.940000,-2.940000,-1.210776000000e-08,1.715422591278e-11,3,-1.210138000000e-08;-1.209068000000e-08;-1.213122000000e-08,550,RCA 929  green 4.1V
4.1,-2.920000,-2.920000,-1.209939000000e-08,2.916879954106e-11,3,-1.207290000000e-08;-1.214002000000e-08;-1.208525000000e-08,550,RCA 929  green 4.1V
4.1,-2.900000,-2.900000,-1.210298333333e-08,1.832101950099e-11,3,-1.209118000000e-08;-1.208891000000e-08;-1.212886000000e-08,550,RCA 929  green 4.1V
4.1,-2.880000,-2.880000,-1.210724000000e-08,6.167922394669e-12,3,-1.211141000000e-08;-1.209852000000e-08;-1.211179000000e-08,550,RCA 929  green 4.1V
4.1,-2.860000,-2.860000,-1.209341666667e-08,1.151729520716e-11,3,-1.210403000000e-08;-1.207741000000e-08;-1.209881000000e-08,550,RCA 929  green 4.1V
4.1,-2.840000,-2.840000,-1.209158666667e-08,1.337526406801e-11,3,-1.210154000000e-08;-1.207268000000e-08;-1.210054000000e-08,550,RCA 929  green 4.1V
4.1,-2.820000,-2.820000,-1.208976666667e-08,2.096091017956e-11,3,-1.211204000000e-08;-1.206169000000e-08;-1.209557000000e-08,550,RCA 929  green 4.1V
4.1,-2.800000,-2.800000,-1.207924333333e-08,6.859744083338e-12,3,-1.208579000000e-08;-1.206977000000e-08;-1.208217000000e-08,550,RCA 929  green 4.1V
4.1,-2.780000,-2.780000,-1.206288000000e-08,1.325267520163e-11,3,-1.205903000000e-08;-1.208069000000e-08;-1.204892000000e-08,550,RCA 929  green 4.1V
4.1,-2.760000,-2.760000,-1.206830333333e-08,2.273167149351e-12,3,-1.206561000000e-08;-1.206813000000e-08;-1.207117000000e-08,550,RCA 929  green 4.1V
4.1,-2.740000,-2.740000,-1.206690666667e-08,1.848120907541e-11,3,-1.205456000000e-08;-1.209303000000e-08;-1.205313000000e-08,550,RCA 929  green 4.1V
4.1,-2.720000,-2.720000,-1.204981666667e-08,2.723543443547e-12,3,-1.205191000000e-08;-1.205157000000e-08;-1.204597000000e-08,550,RCA 929  green 4.1V
4.1,-2.700000,-2.700000,-1.205581666667e-08,1.582165674707e-11,3,-1.206337000000e-08;-1.203380000000e-08;-1.207028000000e-08,550,RCA 929  green 4.1V
4.1,-2.680000,-2.680000,-1.206054666667e-08,1.426597895539e-11,3,-1.206733000000e-08;-1.204070000000e-08;-1.207361000000e-08,550,RCA 929  green 4.1V
4.1,-2.660000,-2.660000,-1.204623666667e-08,1.063681134342e-11,3,-1.204976000000e-08;-1.203181000000e-08;-1.205714000000e-08,550,RCA 929  green 4.1V
4.1,-2.640000,-2.640000,-1.204164333333e-08,4.569240150786e-12,3,-1.203645000000e-08;-1.204757000000e-08;-1.204091000000e-08,550,RCA 929  green 4.1V
4.1,-2.620000,-2.620000,-1.203485666667e-08,4.759386048174e-12,3,-1.203228000000e-08;-1.203076000000e-08;-1.204153000000e-08,550,RCA 929  green 4.1V
4.1,-2.600000,-2.600000,-1.203475000000e-08,1.223338873739e-11,3,-1.204871000000e-08;-1.201892000000e-08;-1.203662000000e-08,550,RCA 929  green 4.1V
4.1,-2.580000,-2.580000,-1.202406000000e-08,6.144824380458e-12,3,-1.201647000000e-08;-1.203152000000e-08;-1.202419000000e-08,550,RCA 929  green 4.1V
4.1,-2.560000,-2.560000,-1.202721666667e-08,9.908179561464e-12,3,-1.203648000000e-08;-1.201348000000e-08;-1.203169000000e-08,550,RCA 929  green 4.1V
4.1,-2.540000,-2.540000,-1.200605000000e-08,1.360865165988e-11,3,-1.199174000000e-08;-1.202435000000e-08;-1.200206000000e-08,550,RCA 929  green 4.1V
4.1,-2.520000,-2.520000,-1.200162666667e-08,1.366689755902e-11,3,-1.199132000000e-08;-1.202094000000e-08;-1.199262000000e-08,550,RCA 929  green 4.1V
