LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
3.1,-3.500000,-3.500000,-2.961989000000e-07,1.626304604516e-11,3,-2.961781000000e-07;-2.962008000000e-07;-2.962178000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.480000,-3.480000,-2.962046666667e-07,1.518120182623e-11,3,-2.962151000000e-07;-2.961832000000e-07;-2.962157000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.460000,-3.460000,-2.961813333333e-07,3.854152162134e-11,3,-2.961338000000e-07;-2.961820000000e-07;-2.962282000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.440000,-3.440000,-2.962409333333e-07,1.028828891939e-11,3,-2.962536000000e-07;-2.962408000000e-07;-2.962284000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.420000,-3.420000,-2.961934333333e-07,1.356375890215e-11,3,-2.961810000000e-07;-2.961870000000e-07;-2.962123000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.400000,-3.400000,-2.961649666667e-07,1.086104148885e-11,3,-2.961784000000e-07;-2.961518000000e-07;-2.961647000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.380000,-3.380000,-2.961600000000e-07,1.842896271271e-11,3,-2.961568000000e-07;-2.961392000000e-07;-2.961840000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.360000,-3.360000,-2.961471333333e-07,1.921983928710e-11,3,-2.961694000000e-07;-2.961225000000e-07;-2.961495000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.340000,-3.340000,-2.961232333333e-07,2.727322659476e-11,3,-2.961254000000e-07;-2.961555000000e-07;-2.960888000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.320000,-3.320000,-2.960646666667e-07,1.970538561465e-11,3,-2.960392000000e-07;-2.960872000000e-07;-2.960676000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.300000,-3.300000,-2.960709000000e-07,2.387006493498e-11,3,-2.960662000000e-07;-2.961022000000e-07;-2.960443000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.280000,-3.280000,-2.960719666667e-07,2.005747297697e-11,3,-2.960975000000e-07;-2.960485000000e-07;-2.960699000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.260000,-3.260000,-2.960845333333e-07,2.441766209574e-11,3,-2.960902000000e-07;-2.960522000000e-07;-2.961112000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.240000,-3.240000,-2.960889000000e-07,1.993506124060e-11,3,-2.960899000000e-07;-2.960640000000e-07;-2.961128000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.220000,-3.220000,-2.960031666667e-07,1.669737171600e-11,3,-2.959798000000e-07;-2.960178000000e-07;-2.960119000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.200000,-3.200000,-2.960033000000e-07,6.328243568850e-12,3,-2.960034000000e-07;-2.960110000000e-07;-2.959955000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.180000,-3.180000,-2.959637666667e-07,1.818613635590e-11,3,-2.959840000000e-07;-2.959399000000e-07;-2.959674000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.160000,-3.160000,-2.959243333333e-07,3.271496429601e-11,3,-2.959361000000e-07;-2.958797000000e-07;-2.959572000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.140000,-3.140000,-2.958613666667e-07,2.415813642555e-11,3,-2.958822000000e-07;-2.958275000000e-07;-2.958744000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.120000,-3.120000,-2.958870333333e-07,1.695530071164e-11,3,-2.959110000000e-07;-2.958757000000e-07;-2.958744000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.100000,-3.100000,-2.958520666667e-07,5.977922344388e-12,3,-2.958437000000e-07;-2.958573000000e-07;-2.958552000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.080000,-3.080000,-2.958781000000e-07,3.001110905409e-12,3,-2.958820000000e-07;-2.958747000000e-07;-2.958776000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.060000,-3.060000,-2.958766666667e-07,3.221328228471e-11,3,-2.958761000000e-07;-2.958375000000e-07;-2.959164000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.040000,-3.040000,-2.957764333333e-07,2.491536785913e-11,3,-2.957937000000e-07;-2.957412000000e-07;-2.957944000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.020000,-3.020000,-2.958721333333e-07,5.107075701636e-12,3,-2.958703000000e-07;-2.958791000000e-07;-2.958670000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.000000,-3.000000,-2.958570666667e-07,2.166107620186e-11,3,-2.958741000000e-07;-2.958265000000e-07;-2.958706000000e-07,402,RCA 929 3.09V 23 mA
3.1,-2.980000,-2.980000,-2.958448000000e-07,2.719301380870e-11,3,-2.958135000000e-07;-2.958798000000e-07;-2.958411000000e-07,402,RCA 929 3.09V 23 mA
3.1,-2.960000,-2.960000,-2.958591333333e-07,2.932954520982e-12,3,-2.958559000000e-07;-2.958585000000e-07;-2.958630000000e-07,402,RCA 929 3.09V 23 mA
3.1,-2.940000,-2.940000,-2.958487666667e-07,1.856526026990e-11,3,-2.958730000000e-07;-2.958279000000e-07;-2.958454000000e-07,402,RCA 929 3.09V 23 mA
3.1,-2.920000,-2.920000,-2.957897666667e-07,7.361763073859e-12,3,-2.957797000000e-07;-2.957971000000e-07;-2.957925000000e-07,402,RCA 929 3.09V 23 mA
3.1,-2.900000,-2.900000,-2.958181333333e-07,1.852175897575e-11,3,-2.957923000000e-07;-2.958348000000e-07;-2.958273000000e-07,402,RCA 929 3.09V 23 mA
3.1,-2.880000,-2.880000,-2.958319333333e-07,3.342198212088e-11,3,-2.958110000000e-07;-2.958057000000e-07;-2.958791000000e-07,402,RCA 929 3.09V 23 mA
3.1,-2.860000,-2.860000,-2.958473000000e-07,2.355093770249e-11,3,-2.958284000000e-07;-2.958805000000e-07;-2.958330000000e-07,402,RCA 929 3.09V 23 mA
3.1,-2.840000,-2.840000,-2.957833333333e-07,1.798542619889e-11,3,-2.957628000000e-07;-2.958066000000e-07;-2.957806000000e-07,402,RCA 929 3.09V 23 mA
