LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
4.6,-2.880000,-2.880000,-1.991485000000e-09,6.923386502765e-12,3,-1.982186000000e-09;-1.998789000000e-09;-1.993480000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.860000,-2.860000,-1.991415333333e-09,1.265023492096e-11,3,-1.974644000000e-09;-2.005194000000e-09;-1.994408000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.840000,-2.840000,-1.975445000000e-09,4.171930009001e-13,3,-1.975150000000e-09;-1.975150000000e-09;-1.976035000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.820000,-2.820000,-1.974391000000e-09,1.060108148571e-11,3,-1.961202000000e-09;-1.987159000000e-09;-1.974812000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.800000,-2.800000,-1.973323666667e-09,1.548431090563e-11,3,-1.958000000000e-09;-1.994533000000e-09;-1.967438000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.780000,-2.780000,-1.992721000000e-09,2.040140202699e-11,3,-2.008270000000e-09;-1.963899000000e-09;-2.005994000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.760000,-2.760000,-1.985500666667e-09,9.891474319950e-12,3,-1.988675000000e-09;-1.972115000000e-09;-1.995712000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.740000,-2.740000,-1.984139333333e-09,1.332796994628e-11,3,-1.997062000000e-09;-1.965795000000e-09;-1.989561000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.720000,-2.720000,-1.973843000000e-09,6.562225283139e-12,3,-1.981638000000e-09;-1.974307000000e-09;-1.965584000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.700000,-2.700000,-1.956257333333e-09,3.415908865230e-11,3,-1.926775000000e-09;-2.004140000000e-09;-1.937857000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.680000,-2.680000,-1.959937666667e-09,1.045869973860e-11,3,-1.952648000000e-09;-1.974728000000e-09;-1.952437000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.660000,-2.660000,-1.961847666667e-09,3.101445444018e-11,3,-1.940722000000e-09;-2.005699000000e-09;-1.939122000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.640000,-2.640000,-1.953252000000e-09,3.493428818033e-11,3,-1.935876000000e-09;-2.001992000000e-09;-1.921888000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.620000,-2.620000,-1.957578333333e-09,3.901440494085e-11,3,-1.932211000000e-09;-2.012695000000e-09;-1.927829000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.600000,-2.600000,-1.950400333333e-09,2.966605728588e-11,3,-1.987580000000e-09;-1.914977000000e-09;-1.948644000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.580000,-2.580000,-1.968969000000e-09,3.445574246286e-11,3,-1.986232000000e-09;-1.920875000000e-09;-1.999800000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.560000,-2.560000,-1.962536000000e-09,1.031196066064e-11,3,-1.976834000000e-09;-1.952901000000e-09;-1.957873000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.540000,-2.540000,-1.943166333333e-09,1.504485374546e-11,3,-1.930062000000e-09;-1.964235000000e-09;-1.935202000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.520000,-2.520000,-1.959417333333e-09,9.770308263077e-12,3,-1.949192000000e-09;-1.956482000000e-09;-1.972578000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.500000,-2.500000,-1.961622666667e-09,2.549219180237e-11,3,-1.960401000000e-09;-1.931030000000e-09;-1.993437000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.480000,-2.480000,-1.961580666667e-09,2.602032438093e-11,3,-1.982228000000e-09;-1.924878000000e-09;-1.977636000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.460000,-2.460000,-1.936986333333e-09,3.404365391017e-11,3,-1.909161000000e-09;-1.984925000000e-09;-1.916873000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.440000,-2.440000,-1.959487333333e-09,2.007959432414e-11,3,-1.968491000000e-09;-1.931662000000e-09;-1.978309000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.420000,-2.420000,-1.951426000000e-09,9.561524564629e-12,3,-1.963478000000e-09;-1.940090000000e-09;-1.950710000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.400000,-2.400000,-1.955021000000e-09,8.714160468265e-12,3,-1.967269000000e-09;-1.947716000000e-09;-1.950078000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.380000,-2.380000,-1.932266333333e-09,1.805440589502e-11,3,-1.920158000000e-09;-1.957788000000e-09;-1.918853000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.360000,-2.360000,-1.941593000000e-09,1.661529502196e-11,3,-1.944936000000e-09;-1.960064000000e-09;-1.919779000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.340000,-2.340000,-1.945624000000e-09,2.299148613436e-11,3,-1.967732000000e-09;-1.913922000000e-09;-1.955218000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.320000,-2.320000,-1.935721333333e-09,1.624621298094e-11,3,-1.923319000000e-09;-1.958672000000e-09;-1.925173000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.300000,-2.300000,-1.952253000000e-09,1.132214726395e-11,3,-1.967605000000e-09;-1.940637000000e-09;-1.948517000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.280000,-2.280000,-1.931171000000e-09,1.695969636128e-11,3,-1.953490000000e-09;-1.912406000000e-09;-1.927617000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.260000,-2.260000,-1.941311666667e-09,2.882892684248e-11,3,-1.960484000000e-09;-1.900565000000e-09;-1.962886000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.240000,-2.240000,-1.935187000000e-09,3.103715976052e-11,3,-1.957240000000e-09;-1.891294000000e-09;-1.957027000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.220000,-2.220000,-1.928768666667e-09,3.273306562009e-11,3,-1.908022000000e-09;-1.974980000000e-09;-1.903304000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.200000,-2.200000,-1.921717666667e-09,6.384479218299e-12,3,-1.919526000000e-09;-1.930399000000e-09;-1.915228000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.180000,-2.180000,-1.919344666667e-09,2.597443550023e-11,3,-1.909794000000e-09;-1.954838000000e-09;-1.893402000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.160000,-2.160000,-1.928656666667e-09,2.423704085807e-11,3,-1.947716000000e-09;-1.894455000000e-09;-1.943799000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.140000,-2.140000,-1.917643666667e-09,1.438059878988e-11,3,-1.908612000000e-09;-1.906379000000e-09;-1.937940000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.120000,-2.120000,-1.934049000000e-09,1.796444178556e-11,3,-1.944808000000e-09;-1.908738000000e-09;-1.948601000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.100000,-2.100000,-1.903078000000e-09,2.209991823514e-11,3,-1.895465000000e-09;-1.933136000000e-09;-1.880633000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.080000,-2.080000,-1.911548000000e-09,2.247387817000e-12,3,-1.909244000000e-09;-1.914596000000e-09;-1.910804000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.060000,-2.060000,-1.907839333333e-09,2.080310522227e-11,3,-1.910003000000e-09;-1.932167000000e-09;-1.881348000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.040000,-2.040000,-1.924062333333e-09,3.123790694368e-11,3,-1.935033000000e-09;-1.881517000000e-09;-1.955637000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.020000,-2.020000,-1.922869000000e-09,2.071605630101e-11,3,-1.934738000000e-09;-1.893738000000e-09;-1.940131000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.000000,-2.000000,-1.908527333333e-09,1.465771645092e-11,3,-1.911856000000e-09;-1.889144000000e-09;-1.924582000000e-09,590,RCA 929  yellow 4.6V
4.6,-1.980000,-1.980000,-1.899609333333e-09,2.610212672476e-11,3,-1.878062000000e-09;-1.936340000000e-09;-1.884426000000e-09,590,RCA 929  yellow 4.6V
4.6,-1.960000,-1.960000,-1.905592666667e-09,1.129450652112e-11,3,-1.907475000000e-09;-1.890915000000e-09;-1.918388000000e-09,590,RCA 929  yellow 4.6V
4.6,-1.940000,-1.940000,-1.894467666667e-09,2.391576679840e-11,3,-1.876124000000e-09;-1.928248000000e-09;-1.879031000000e-09,590,RCA 929  yellow 4.6V
4.6,-1.920000,-1.920000,-1.896939333333e-09,7.372429103687e-12,3,-1.907095000000e-09;-1.889818000000e-09;-1.893905000000e-09,590,RCA 929  yellow 4.6V
